DATA_INICIAL,TOTAL_VALOR,DATA_FINAL,COD_FAVORECIDO,NOME_FAVORECIDO
01/01/2021,3468251.02,31/12/2021,12335030000138,PREF MUNI PAULO JACINTO
01/01/2021,26035363.02,31/12/2021,12243697000100,PREF MUNI PENEDO
01/01/2021,7751427.18,31/12/2021,12247268000101,PREF MUNI PIACABUCU
01/01/2021,104935714.71,31/12/2021,12200150000128,PREF MUNI PILAR
01/01/2021,2854471.76,31/12/2021,12335436000110,PREF MUNI PINDOBA
01/01/2021,21077097.26,31/12/2021,12225546000120,PREF MUNI PIRANHAS
01/01/2021,5200153.54,31/12/2021,12259040000131,PREF MUNI POCO DAS TRINCHEIRAS
01/01/2021,8550888.47,31/12/2021,12366720000154,PREF MUNI PORTO CALVO
01/01/2021,7624355.76,31/12/2021,08629446000191,PREF MUNI PORTO DE PEDRAS
01/01/2021,4759328.60,31/12/2021,12207429000133,PREF MUNI PORTO REAL DO COLEGIO
01/01/2021,11918734.42,31/12/2021,12241675000101,PREF MUNI QUEBRANGULO
01/01/2021,41839666.33,31/12/2021,12200168000120,PREF MUNI RIO LARGO
01/01/2021,4572344.28,31/12/2021,12264248000149,PREF MUNI ROTEIRO
01/01/2021,4565235.79,31/12/2021,12200317000150,PREF MUNI SANTA LUZIA DO NORTE
01/01/2021,12590426.18,31/12/2021,12250916000189,PREF MUNI SANTANA DO IPANEMA
01/01/2021,7694740.35,31/12/2021,12332979000184,PREF MUNI SANTANA DO MUNDAU
01/01/2021,5614311.49,31/12/2021,12207437000180,PREF MUNI SAO BRAZ
01/01/2021,7352246.67,31/12/2021,12330916000199,PREF MUNI SAO JOSE DA LAGE
01/01/2021,8452414.40,31/12/2021,12261228000114,PREF MUNI SAO JOSE DA TAPERA
01/01/2021,13416474.95,31/12/2021,12342671000110,PREF MUNI SAO LUIZ DO QUITUNDE
01/01/2021,35156200.51,31/12/2021,12264222000109,PREF MUNI SAO MIGUEL DOS CAMPOS
01/01/2021,3287851.80,31/12/2021,12364881000109,PREF MUNI SAO MIGUEL DOS MILAGRES
01/01/2021,9441962.67,31/12/2021,12247631000199,PREF MUNI SAO SEBASTIAO
01/01/2021,4842497.96,31/12/2021,12200333000143,PREF MUNI SATUBA
01/01/2021,4314583.51,31/12/2021,12421137000107,PREF MUNI SENADOR RUI PALMEIRA
01/01/2021,3586010.81,31/12/2021,12241865000129,PREF MUNI TANQUE DARCA
01/01/2021,5612689.24,31/12/2021,12207445000126,PREF MUNI TAQUARANA
01/01/2021,16828988.60,31/12/2021,12842829000110,PREF MUNI TEOTONIO VILELA
01/01/2021,10557021.27,31/12/2021,12207452000128,PREF MUNI TRAIPU
01/01/2021,19422626.83,31/12/2021,12332946000134,PREF MUNI UNIAO DOS PALMARES
01/01/2021,8933629.75,31/12/2021,12333746000104,PREF MUNI VICOSA
